premises_en	hypothesis_en	gold	content-type	conversion	figure	image_id	mood	premise1_logic	premise2_logic	premise1_ascii	premise2_ascii
No females are males. Some males are students.	Some students are not females.	entailment	congruent	no	4	euler_16_EI4	EIO	females ∩ males = ∅	males ∩ students ≠ ∅	"females:                -------
males:                                --------"	"males:                    -----x----
students:                    --x---------"
No males are females. Some males are students.	Some students are not females.	entailment	congruent	no	3	euler_16_EI3	EIO	males ∩ females = ∅	males ∩ students ≠ ∅	"males:                  -------
females:                              --------"	"males:                    -----x----
students:                    --x---------"
All sparrows are birds. No stones are birds.	No stones are sparrows.	entailment	congruent	no	2	euler_7_AE2	AEE	sparrows ⊆ birds	stones ∩ birds = ∅	"sparrows:                          ------
birds:                      ---------------"	"stones:                 -------
birds:                                --------"
Some tomatoes are vegetables. All tomatoes are plants.	Some plants are vegetables.	entailment	congruent	no	3	euler_20_IA3	IAI	tomatoes ∩ vegetables ≠ ∅	tomatoes ⊆ plants	"tomatoes:                 -----x----
vegetables:                  --x---------"	"tomatoes:                          ------
plants:                     ---------------"
All dogs are animals. Some robots are not animals.	Some robots are not dogs.	entailment	congruent	no	2	euler_3_AO2	AOO	dogs ⊆ animals	robots \ animals ≠ ∅	"dogs:                              ------
animals:                    ---------------"	"robots:                   --x-------
animals:                           -----------"
No females are males. Some males are students.	No students are females.	neutral	congruent	no	4	euler_16_EI4	EIE	females ∩ males = ∅	males ∩ students ≠ ∅	"females:                -------
males:                                --------"	"males:                    -----x----
students:                    --x---------"
All trumpets are instruments. Some instruments are string instruments.	No string instruments are trumpets.	neutral	congruent	no	4	euler_14_AI4	AIE	trumpets ⊆ instruments	instruments ∩ string instruments ≠ ∅	"trumpets:                          ------
instruments:                ---------------"	"instruments:              -----x----
string instruments:          --x---------"
All tomatoes are plants. No animals are plants.	All animals are tomatoes.	neutral	congruent	no	2	euler_11_AE2	AEA	tomatoes ⊆ plants	animals ∩ plants = ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                -------
plants:                               --------"
Some plants are not trees. All plants are living things.	No living things are trees.	neutral	congruent	no	3	euler_13_OA3	OAE	plants \ trees ≠ ∅	plants ⊆ living things	"plants:                   --x-------
trees:                             -----------"	"plants:                            ------
living things:              ---------------"
All dogs are animals. Some robots are not animals.	Some robots are dogs.	neutral	congruent	no	2	euler_3_AO2	AOI	dogs ⊆ animals	robots \ animals ≠ ∅	"dogs:                              ------
animals:                    ---------------"	"robots:                   --x-------
animals:                           -----------"
All vegetables are tomatoes. All tomatoes are plants.	All plants are vegetables.	neutral	congruent	yes	4	euler_20_AA4	AAA	vegetables ⊆ tomatoes	tomatoes ⊆ plants	"vegetables:                        ------
tomatoes:                   ---------------"	"tomatoes:                          ------
plants:                     ---------------"
Some instruments are trumpets. All string instruments are instruments.	All string instruments are trumpets.	neutral	congruent	no	1	euler_14_IA1	IAA	instruments ∩ trumpets ≠ ∅	string instruments ⊆ instruments	"instruments:              -----x----
trumpets:                    --x---------"	"string instruments:                ------
instruments:                ---------------"
All wicked people are human beings. Some human beings are not thieves.	All thieves are wicked people.	neutral	congruent	no	4	euler_21_AO4	AOA	wicked people ⊆ human beings	human beings \ thieves ≠ ∅	"wicked people:                     ------
human beings:               ---------------"	"human beings:             --x-------
thieves:                           -----------"
All trumpets are instruments. All string instruments are instruments.	Some string instruments are not trumpets.	neutral	congruent	no	2	euler_14_AA2	AAO	trumpets ⊆ instruments	string instruments ⊆ instruments	"trumpets:                          ------
instruments:                ---------------"	"string instruments:                ------
instruments:                ---------------"
Some shark are not tuna. All shark are fish.	Some fish are tuna.	neutral	congruent	no	3	euler_22_OA3	OAI	shark \ tuna ≠ ∅	shark ⊆ fish	"shark:                    --x-------
tuna:                              -----------"	"shark:                             ------
fish:                       ---------------"
All tomatoes are plants. Some animals are not plants.	No animals are tomatoes.	neutral	congruent	no	2	euler_11_AO2	AOE	tomatoes ⊆ plants	animals \ plants ≠ ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                  --x-------
plants:                            -----------"
All tomatoes are plants. No animals are plants.	Some animals are not tomatoes.	neutral	congruent	no	2	euler_11_AE2	AEO	tomatoes ⊆ plants	animals ∩ plants = ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                -------
plants:                               --------"
All wicked people are human beings. Some human beings are not thieves.	No thieves are wicked people.	neutral	congruent	no	4	euler_21_AO4	AOE	wicked people ⊆ human beings	human beings \ thieves ≠ ∅	"wicked people:                     ------
human beings:               ---------------"	"human beings:             --x-------
thieves:                           -----------"
Some human beings are wicked people. All thieves are human beings.	Some thieves are not wicked people.	neutral	congruent	no	1	euler_21_IA1	IAO	human beings ∩ wicked people ≠ ∅	thieves ⊆ human beings	"human beings:             -----x----
wicked people:               --x---------"	"thieves:                           ------
human beings:               ---------------"
All vegetables are tomatoes. All tomatoes are plants.	No plants are vegetables.	neutral	congruent	no	4	euler_20_AA4	AAE	vegetables ⊆ tomatoes	tomatoes ⊆ plants	"vegetables:                        ------
tomatoes:                   ---------------"	"tomatoes:                          ------
plants:                     ---------------"
Some tuna are not shark. All shark are fish.	Some fish are tuna.	neutral	congruent	no	4	euler_22_OA4	OAI	tuna \ shark ≠ ∅	shark ⊆ fish	"tuna:                     --x-------
shark:                             -----------"	"shark:                             ------
fish:                       ---------------"
All human beings are mammals. Some horses are mammals.	All horses are human beings.	neutral	congruent	no	2	euler_15_AI2	AIA	human beings ⊆ mammals	horses ∩ mammals ≠ ∅	"human beings:                      ------
mammals:                    ---------------"	"horses:                   -----x----
mammals:                     --x---------"
All beer are liquor. All liquor are drink.	All drink are beer.	neutral	congruent	yes	4	euler_17_AA4	AAA	beer ⊆ liquor	liquor ⊆ drink	"beer:                              ------
liquor:                     ---------------"	"liquor:                            ------
drink:                      ---------------"
All fruits are foods. No foods are stones.	Some stones are not fruits.	neutral	congruent	no	4	euler_2_AE4	AEO	fruits ⊆ foods	foods ∩ stones = ∅	"fruits:                            ------
foods:                      ---------------"	"foods:                  -------
stones:                               --------"
All trees are plants. All plants are living things.	No living things are trees.	neutral	congruent	no	4	euler_13_AA4	AAE	trees ⊆ plants	plants ⊆ living things	"trees:                             ------
plants:                     ---------------"	"plants:                            ------
living things:              ---------------"
All wicked people are human beings. Some human beings are thieves.	Some thieves are not wicked people.	neutral	congruent	no	4	euler_21_AI4	AIO	wicked people ⊆ human beings	human beings ∩ thieves ≠ ∅	"wicked people:                     ------
human beings:               ---------------"	"human beings:             -----x----
thieves:                     --x---------"
All vegetables are tomatoes. Some plants are not tomatoes.	Some plants are vegetables.	neutral	congruent	no	2	euler_20_AO2	AOI	vegetables ⊆ tomatoes	plants \ tomatoes ≠ ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                   --x-------
tomatoes:                          -----------"
No tuna are shark. All shark are fish.	Some fish are tuna.	neutral	congruent	no	4	euler_22_EA4	EAI	tuna ∩ shark = ∅	shark ⊆ fish	"tuna:                   -------
shark:                                --------"	"shark:                             ------
fish:                       ---------------"
Some human beings are wicked people. All thieves are human beings.	Some thieves are wicked people.	neutral	congruent	yes	1	euler_21_IA1	IAI	human beings ∩ wicked people ≠ ∅	thieves ⊆ human beings	"human beings:             -----x----
wicked people:               --x---------"	"thieves:                           ------
human beings:               ---------------"
All wicked people are human beings. All thieves are human beings.	Some thieves are wicked people.	neutral	congruent	no	2	euler_21_AA2	AAI	wicked people ⊆ human beings	thieves ⊆ human beings	"wicked people:                     ------
human beings:               ---------------"	"thieves:                           ------
human beings:               ---------------"
All baseball players are athletes. Some human beings are athletes.	Some human beings are baseball players.	neutral	congruent	yes	2	euler_10_AI2	AII	baseball players ⊆ athletes	human beings ∩ athletes ≠ ∅	"baseball players:                  ------
athletes:                   ---------------"	"human beings:             -----x----
athletes:                    --x---------"
All human beings are mammals. Some mammals are horses.	Some horses are not human beings.	neutral	congruent	no	4	euler_15_AI4	AIO	human beings ⊆ mammals	mammals ∩ horses ≠ ∅	"human beings:                      ------
mammals:                    ---------------"	"mammals:                  -----x----
horses:                      --x---------"
All baseball players are athletes. Some human beings are athletes.	Some human beings are not baseball players.	neutral	congruent	no	2	euler_10_AI2	AIO	baseball players ⊆ athletes	human beings ∩ athletes ≠ ∅	"baseball players:                  ------
athletes:                   ---------------"	"human beings:             -----x----
athletes:                    --x---------"
All sparrows are birds. Some birds are not stones.	Some stones are sparrows.	neutral	congruent	no	4	euler_7_AO4	AOI	sparrows ⊆ birds	birds \ stones ≠ ∅	"sparrows:                          ------
birds:                      ---------------"	"birds:                    --x-------
stones:                            -----------"
Some human beings are not wicked people. All thieves are human beings.	Some thieves are not wicked people.	neutral	congruent	yes	1	euler_21_OA1	OAO	human beings \ wicked people ≠ ∅	thieves ⊆ human beings	"human beings:             --x-------
wicked people:                     -----------"	"thieves:                           ------
human beings:               ---------------"
All beer are liquor. All liquor are drink.	Some drink are beer.	neutral	congruent	no	4	euler_17_AA4	AAI	beer ⊆ liquor	liquor ⊆ drink	"beer:                              ------
liquor:                     ---------------"	"liquor:                            ------
drink:                      ---------------"
All dogs are animals. No animals are robots.	Some robots are not dogs.	neutral	congruent	no	4	euler_3_AE4	AEO	dogs ⊆ animals	animals ∩ robots = ∅	"dogs:                              ------
animals:                    ---------------"	"animals:                -------
robots:                               --------"
All trees are plants. Some living things are plants.	Some living things are trees.	neutral	congruent	yes	2	euler_13_AI2	AII	trees ⊆ plants	living things ∩ plants ≠ ∅	"trees:                             ------
plants:                     ---------------"	"living things:            -----x----
plants:                      --x---------"
All beer are liquor. Some drink are liquor.	Some drink are beer.	neutral	congruent	yes	2	euler_17_AI2	AII	beer ⊆ liquor	drink ∩ liquor ≠ ∅	"beer:                              ------
liquor:                     ---------------"	"drink:                    -----x----
liquor:                      --x---------"
All human beings are mammals. All horses are mammals.	All horses are human beings.	neutral	congruent	yes	2	euler_15_AA2	AAA	human beings ⊆ mammals	horses ⊆ mammals	"human beings:                      ------
mammals:                    ---------------"	"horses:                            ------
mammals:                    ---------------"
All baseball players are athletes. Some athletes are human beings.	No human beings are baseball players.	neutral	congruent	no	4	euler_10_AI4	AIE	baseball players ⊆ athletes	athletes ∩ human beings ≠ ∅	"baseball players:                  ------
athletes:                   ---------------"	"athletes:                 -----x----
human beings:                --x---------"
Some vegetables are tomatoes. All tomatoes are plants.	Some plants are not vegetables.	neutral	congruent	no	4	euler_20_IA4	IAO	vegetables ∩ tomatoes ≠ ∅	tomatoes ⊆ plants	"vegetables:               -----x----
tomatoes:                    --x---------"	"tomatoes:                          ------
plants:                     ---------------"
All fruits are foods. Some foods are not stones.	All stones are fruits.	neutral	congruent	no	4	euler_2_AO4	AOA	fruits ⊆ foods	foods \ stones ≠ ∅	"fruits:                            ------
foods:                      ---------------"	"foods:                    --x-------
stones:                            -----------"
All beer are liquor. Some liquor are drink.	No drink are beer.	neutral	congruent	no	4	euler_17_AI4	AIE	beer ⊆ liquor	liquor ∩ drink ≠ ∅	"beer:                              ------
liquor:                     ---------------"	"liquor:                   -----x----
drink:                       --x---------"
All vegetables are tomatoes. Some plants are tomatoes.	Some plants are vegetables.	neutral	congruent	yes	2	euler_20_AI2	AII	vegetables ⊆ tomatoes	plants ∩ tomatoes ≠ ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                   -----x----
tomatoes:                    --x---------"
No vegetables are tomatoes. All plants are tomatoes.	Some plants are vegetables.	contradiction	incongruent	no	2	euler_20_EA2	EAI	vegetables ∩ tomatoes = ∅	plants ⊆ tomatoes	"vegetables:             -------
tomatoes:                             --------"	"plants:                            ------
tomatoes:                   ---------------"
No human beings are wicked people. Some thieves are human beings.	All thieves are wicked people.	contradiction	incongruent	no	1	euler_21_EI1	EIA	human beings ∩ wicked people = ∅	thieves ∩ human beings ≠ ∅	"human beings:           -------
wicked people:                        --------"	"thieves:                  -----x----
human beings:                --x---------"
No tuna are shark. All fish are shark.	Some fish are tuna.	contradiction	incongruent	no	2	euler_22_EA2	EAI	tuna ∩ shark = ∅	fish ⊆ shark	"tuna:                   -------
shark:                                --------"	"fish:                              ------
shark:                      ---------------"
Some human beings are wicked people. All human beings are thieves.	No thieves are wicked people.	contradiction	incongruent	no	3	euler_21_IA3	IAE	human beings ∩ wicked people ≠ ∅	human beings ⊆ thieves	"human beings:             -----x----
wicked people:               --x---------"	"human beings:                      ------
thieves:                    ---------------"
No athletes are baseball players. Some human beings are athletes.	All human beings are baseball players.	contradiction	incongruent	no	1	euler_10_EI1	EIA	athletes ∩ baseball players = ∅	human beings ∩ athletes ≠ ∅	"athletes:               -------
baseball players:                     --------"	"human beings:             -----x----
athletes:                    --x---------"
All crocodiles are birds. Some crocodiles are crows.	No crows are birds.	contradiction	incongruent	no	3	euler_6_AI3	AIE	crocodiles ⊆ birds	crocodiles ∩ crows ≠ ∅	"crocodiles:                        ------
birds:                      ---------------"	"crocodiles:               -----x----
crows:                       --x---------"
No metals are sand. All air are sand.	Some air are metals.	contradiction	incongruent	no	2	euler_5_EA2	EAI	metals ∩ sand = ∅	air ⊆ sand	"metals:                 -------
sand:                                 --------"	"air:                               ------
sand:                       ---------------"
All students are horses. No humans are horses.	Some humans are students.	contradiction	incongruent	no	2	euler_8_AE2	AEI	students ⊆ horses	humans ∩ horses = ∅	"students:                          ------
horses:                     ---------------"	"humans:                 -------
horses:                               --------"
All liquid are metals. All stones are liquid.	Some stones are not metals.	contradiction	incongruent	no	1	euler_18_AA1	AAO	liquid ⊆ metals	stones ⊆ liquid	"liquid:                            ------
metals:                     ---------------"	"stones:                            ------
liquid:                     ---------------"
No sand are metals. All air are sand.	Some air are metals.	contradiction	incongruent	no	1	euler_5_EA1	EAI	sand ∩ metals = ∅	air ⊆ sand	"sand:                   -------
metals:                               --------"	"air:                               ------
sand:                       ---------------"
All athletes are baseball players. All human beings are athletes.	Some human beings are not baseball players.	contradiction	incongruent	no	1	euler_10_AA1	AAO	athletes ⊆ baseball players	human beings ⊆ athletes	"athletes:                          ------
baseball players:           ---------------"	"human beings:                      ------
athletes:                   ---------------"
No wicked people are human beings. All thieves are human beings.	Some thieves are wicked people.	contradiction	incongruent	no	2	euler_21_EA2	EAI	wicked people ∩ human beings = ∅	thieves ⊆ human beings	"wicked people:          -------
human beings:                         --------"	"thieves:                           ------
human beings:               ---------------"
No water are metals. All iron are water.	Some iron are metals.	contradiction	incongruent	no	1	euler_19_EA1	EAI	water ∩ metals = ∅	iron ⊆ water	"water:                  -------
metals:                               --------"	"iron:                              ------
water:                      ---------------"
All vegetables are tomatoes. No plants are tomatoes.	Some plants are vegetables.	contradiction	incongruent	no	2	euler_20_AE2	AEI	vegetables ⊆ tomatoes	plants ∩ tomatoes = ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                 -------
tomatoes:                             --------"
All ghosts are students. All human beings are ghosts.	Some human beings are not students.	contradiction	incongruent	no	1	euler_12_AA1	AAO	ghosts ⊆ students	human beings ⊆ ghosts	"ghosts:                            ------
students:                   ---------------"	"human beings:                      ------
ghosts:                     ---------------"
No pigeons are birds. Some cats are birds.	All cats are pigeons.	contradiction	incongruent	no	2	euler_9_EI2	EIA	pigeons ∩ birds = ∅	cats ∩ birds ≠ ∅	"pigeons:                -------
birds:                                --------"	"cats:                     -----x----
birds:                       --x---------"
Some tuna are shark. All shark are fish.	No fish are tuna.	contradiction	incongruent	no	4	euler_22_IA4	IAE	tuna ∩ shark ≠ ∅	shark ⊆ fish	"tuna:                     -----x----
shark:                       --x---------"	"shark:                             ------
fish:                       ---------------"
All plants are trees. All living things are plants.	Some living things are not trees.	contradiction	incongruent	no	1	euler_13_AA1	AAO	plants ⊆ trees	living things ⊆ plants	"plants:                            ------
trees:                      ---------------"	"living things:                     ------
plants:                     ---------------"
Some birds are pigeons. All birds are cats.	No cats are pigeons.	contradiction	incongruent	no	3	euler_9_IA3	IAE	birds ∩ pigeons ≠ ∅	birds ⊆ cats	"birds:                    -----x----
pigeons:                     --x---------"	"birds:                             ------
cats:                       ---------------"
Some sand are not metals. All sand are air.	All air are metals.	contradiction	incongruent	no	3	euler_5_OA3	OAA	sand \ metals ≠ ∅	sand ⊆ air	"sand:                     --x-------
metals:                            -----------"	"sand:                              ------
air:                        ---------------"
No crocodiles are birds. Some crocodiles are crows.	All crows are birds.	contradiction	incongruent	no	3	euler_6_EI3	EIA	crocodiles ∩ birds = ∅	crocodiles ∩ crows ≠ ∅	"crocodiles:             -------
birds:                                --------"	"crocodiles:               -----x----
crows:                       --x---------"
No baseball players are athletes. Some human beings are athletes.	All human beings are baseball players.	contradiction	incongruent	no	2	euler_10_EI2	EIA	baseball players ∩ athletes = ∅	human beings ∩ athletes ≠ ∅	"baseball players:       -------
athletes:                             --------"	"human beings:             -----x----
athletes:                    --x---------"
No metals are water. Some iron are water.	All iron are metals.	contradiction	incongruent	no	2	euler_19_EI2	EIA	metals ∩ water = ∅	iron ∩ water ≠ ∅	"metals:                 -------
water:                                --------"	"iron:                     -----x----
water:                       --x---------"
All plants are trees. Some living things are plants.	No living things are trees.	contradiction	incongruent	no	1	euler_13_AI1	AIE	plants ⊆ trees	living things ∩ plants ≠ ∅	"plants:                            ------
trees:                      ---------------"	"living things:            -----x----
plants:                      --x---------"
All foods are fruits. Some stones are foods.	No stones are fruits.	contradiction	incongruent	no	1	euler_2_AI1	AIE	foods ⊆ fruits	stones ∩ foods ≠ ∅	"foods:                             ------
fruits:                     ---------------"	"stones:                   -----x----
foods:                       --x---------"
No dogs are animals. Some robots are animals.	All robots are dogs.	contradiction	incongruent	no	2	euler_3_EI2	EIA	dogs ∩ animals = ∅	robots ∩ animals ≠ ∅	"dogs:                   -------
animals:                              --------"	"robots:                   -----x----
animals:                     --x---------"
Some birds are sparrows. All birds are stones.	No stones are sparrows.	contradiction	incongruent	no	3	euler_7_IA3	IAE	birds ∩ sparrows ≠ ∅	birds ⊆ stones	"birds:                    -----x----
sparrows:                    --x---------"	"birds:                             ------
stones:                     ---------------"
All ghosts are students. Some ghosts are human beings.	No human beings are students.	contradiction	incongruent	no	3	euler_12_AI3	AIE	ghosts ⊆ students	ghosts ∩ human beings ≠ ∅	"ghosts:                            ------
students:                   ---------------"	"ghosts:                   -----x----
human beings:                --x---------"
All trumpets are instruments. Some string instruments are not instruments.	All string instruments are trumpets.	contradiction	incongruent	no	2	euler_14_AO2	AOA	trumpets ⊆ instruments	string instruments \ instruments ≠ ∅	"trumpets:                          ------
instruments:                ---------------"	"string instruments:       --x-------
instruments:                       -----------"
No horses are students. All humans are horses.	Some humans are students.	contradiction	incongruent	no	1	euler_8_EA1	EAI	horses ∩ students = ∅	humans ⊆ horses	"horses:                 -------
students:                             --------"	"humans:                            ------
horses:                     ---------------"
All birds are crocodiles. No crocodiles are crows.	Some crows are birds.	contradiction	incongruent	no	4	euler_6_AE4	AEI	birds ⊆ crocodiles	crocodiles ∩ crows = ∅	"birds:                             ------
crocodiles:                 ---------------"	"crocodiles:             -------
crows:                                --------"
Some crocodiles are birds. All crocodiles are crows.	No crows are birds.	contradiction	incongruent	no	3	euler_6_IA3	IAE	crocodiles ∩ birds ≠ ∅	crocodiles ⊆ crows	"crocodiles:               -----x----
birds:                       --x---------"	"crocodiles:                        ------
crows:                      ---------------"
All robots are comodities. No comodities are machines.	Some machines are robots.	contradiction	incongruent	no	4	euler_4_AE4	AEI	robots ⊆ comodities	comodities ∩ machines = ∅	"robots:                            ------
comodities:                 ---------------"	"comodities:             -------
machines:                             --------"
All horses are students. All humans are horses.	Some humans are not students.	contradiction	incongruent	no	1	euler_8_AA1	AAO	horses ⊆ students	humans ⊆ horses	"horses:                            ------
students:                   ---------------"	"humans:                            ------
horses:                     ---------------"
No students are ghosts. All human beings are ghosts.	Some human beings are students.	contradiction	incongruent	no	2	euler_12_EA2	EAI	students ∩ ghosts = ∅	human beings ⊆ ghosts	"students:               -------
ghosts:                               --------"	"human beings:                      ------
ghosts:                     ---------------"
No students are ghosts. Some ghosts are human beings.	All human beings are students.	contradiction	incongruent	no	4	euler_12_EI4	EIA	students ∩ ghosts = ∅	ghosts ∩ human beings ≠ ∅	"students:               -------
ghosts:                               --------"	"ghosts:                   -----x----
human beings:                --x---------"
All animals are dogs. All robots are animals.	Some robots are not dogs.	contradiction	incongruent	no	1	euler_3_AA1	AAO	animals ⊆ dogs	robots ⊆ animals	"animals:                           ------
dogs:                       ---------------"	"robots:                            ------
animals:                    ---------------"
All trees are plants. No living things are plants.	Some living things are trees.	contradiction	incongruent	no	2	euler_13_AE2	AEI	trees ⊆ plants	living things ∩ plants = ∅	"trees:                             ------
plants:                     ---------------"	"living things:          -------
plants:                               --------"
All plants are tomatoes. Some animals are plants.	No animals are tomatoes.	contradiction	incongruent	no	1	euler_11_AI1	AIE	plants ⊆ tomatoes	animals ∩ plants ≠ ∅	"plants:                            ------
tomatoes:                   ---------------"	"animals:                  -----x----
plants:                      --x---------"
All birds are crocodiles. No crows are crocodiles.	Some crows are birds.	contradiction	incongruent	no	2	euler_6_AE2	AEI	birds ⊆ crocodiles	crows ∩ crocodiles = ∅	"birds:                             ------
crocodiles:                 ---------------"	"crows:                  -------
crocodiles:                           --------"
All crocodiles are birds. Some crocodiles are crows.	Some crows are birds.	entailment	incongruent	no	3	euler_6_AI3	AII	crocodiles ⊆ birds	crocodiles ∩ crows ≠ ∅	"crocodiles:                        ------
birds:                      ---------------"	"crocodiles:               -----x----
crows:                       --x---------"
No liquid are metals. Some liquid are stones.	Some stones are not metals.	entailment	incongruent	no	3	euler_18_EI3	EIO	liquid ∩ metals = ∅	liquid ∩ stones ≠ ∅	"liquid:                 -------
metals:                               --------"	"liquid:                   -----x----
stones:                      --x---------"
No metals are water. Some iron are water.	Some iron are not metals.	entailment	incongruent	no	2	euler_19_EI2	EIO	metals ∩ water = ∅	iron ∩ water ≠ ∅	"metals:                 -------
water:                                --------"	"iron:                     -----x----
water:                       --x---------"
No baseball players are athletes. Some human beings are athletes.	Some human beings are not baseball players.	entailment	incongruent	no	2	euler_10_EI2	EIO	baseball players ∩ athletes = ∅	human beings ∩ athletes ≠ ∅	"baseball players:       -------
athletes:                             --------"	"human beings:             -----x----
athletes:                    --x---------"
All athletes are baseball players. All human beings are athletes.	All human beings are baseball players.	entailment	incongruent	no	1	euler_10_AA1	AAA	athletes ⊆ baseball players	human beings ⊆ athletes	"athletes:                          ------
baseball players:           ---------------"	"human beings:                      ------
athletes:                   ---------------"
No sand are metals. All air are sand.	No air are metals.	entailment	incongruent	no	1	euler_5_EA1	EAE	sand ∩ metals = ∅	air ⊆ sand	"sand:                   -------
metals:                               --------"	"air:                               ------
sand:                       ---------------"
No dogs are animals. Some robots are animals.	Some robots are not dogs.	entailment	incongruent	no	2	euler_3_EI2	EIO	dogs ∩ animals = ∅	robots ∩ animals ≠ ∅	"dogs:                   -------
animals:                              --------"	"robots:                   -----x----
animals:                     --x---------"
No students are ghosts. Some ghosts are human beings.	Some human beings are not students.	entailment	incongruent	no	4	euler_12_EI4	EIO	students ∩ ghosts = ∅	ghosts ∩ human beings ≠ ∅	"students:               -------
ghosts:                               --------"	"ghosts:                   -----x----
human beings:                --x---------"
All trees are plants. No living things are plants.	No living things are trees.	entailment	incongruent	no	2	euler_13_AE2	AEE	trees ⊆ plants	living things ∩ plants = ∅	"trees:                             ------
plants:                     ---------------"	"living things:          -------
plants:                               --------"
No wicked people are human beings. All thieves are human beings.	No thieves are wicked people.	entailment	incongruent	no	2	euler_21_EA2	EAE	wicked people ∩ human beings = ∅	thieves ⊆ human beings	"wicked people:          -------
human beings:                         --------"	"thieves:                           ------
human beings:               ---------------"
Some sand are not metals. All sand are air.	Some air are not metals.	entailment	incongruent	no	3	euler_5_OA3	OAO	sand \ metals ≠ ∅	sand ⊆ air	"sand:                     --x-------
metals:                            -----------"	"sand:                              ------
air:                        ---------------"
All vegetables are tomatoes. No plants are tomatoes.	No plants are vegetables.	entailment	incongruent	no	2	euler_20_AE2	AEE	vegetables ⊆ tomatoes	plants ∩ tomatoes = ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                 -------
tomatoes:                             --------"
No vegetables are tomatoes. All plants are tomatoes.	No plants are vegetables.	entailment	incongruent	no	2	euler_20_EA2	EAE	vegetables ∩ tomatoes = ∅	plants ⊆ tomatoes	"vegetables:             -------
tomatoes:                             --------"	"plants:                            ------
tomatoes:                   ---------------"
Some birds are pigeons. All birds are cats.	Some cats are pigeons.	entailment	incongruent	no	3	euler_9_IA3	IAI	birds ∩ pigeons ≠ ∅	birds ⊆ cats	"birds:                    -----x----
pigeons:                     --x---------"	"birds:                             ------
cats:                       ---------------"
Some human beings are wicked people. All human beings are thieves.	Some thieves are wicked people.	entailment	incongruent	no	3	euler_21_IA3	IAI	human beings ∩ wicked people ≠ ∅	human beings ⊆ thieves	"human beings:             -----x----
wicked people:               --x---------"	"human beings:                      ------
thieves:                    ---------------"
All animals are dogs. All robots are animals.	All robots are dogs.	entailment	incongruent	no	1	euler_3_AA1	AAA	animals ⊆ dogs	robots ⊆ animals	"animals:                           ------
dogs:                       ---------------"	"robots:                            ------
animals:                    ---------------"
All robots are comodities. No comodities are machines.	No machines are robots.	entailment	incongruent	no	4	euler_4_AE4	AEE	robots ⊆ comodities	comodities ∩ machines = ∅	"robots:                            ------
comodities:                 ---------------"	"comodities:             -------
machines:                             --------"
No tomatoes are plants. Some plants are animals.	Some animals are not tomatoes.	entailment	incongruent	no	4	euler_11_EI4	EIO	tomatoes ∩ plants = ∅	plants ∩ animals ≠ ∅	"tomatoes:               -------
plants:                               --------"	"plants:                   -----x----
animals:                     --x---------"
All ghosts are students. Some ghosts are human beings.	Some human beings are students.	entailment	incongruent	no	3	euler_12_AI3	AII	ghosts ⊆ students	ghosts ∩ human beings ≠ ∅	"ghosts:                            ------
students:                   ---------------"	"ghosts:                   -----x----
human beings:                --x---------"
No crocodiles are birds. Some crocodiles are crows.	Some crows are not birds.	entailment	incongruent	no	3	euler_6_EI3	EIO	crocodiles ∩ birds = ∅	crocodiles ∩ crows ≠ ∅	"crocodiles:             -------
birds:                                --------"	"crocodiles:               -----x----
crows:                       --x---------"
No beer are liquor. All drink are liquor.	No drink are beer.	entailment	incongruent	no	2	euler_17_EA2	EAE	beer ∩ liquor = ∅	drink ⊆ liquor	"beer:                   -------
liquor:                               --------"	"drink:                             ------
liquor:                     ---------------"
No human beings are mammals. All horses are mammals.	No horses are human beings.	entailment	incongruent	no	2	euler_15_EA2	EAE	human beings ∩ mammals = ∅	horses ⊆ mammals	"human beings:           -------
mammals:                              --------"	"horses:                            ------
mammals:                    ---------------"
All students are horses. No humans are horses.	No humans are students.	entailment	incongruent	no	2	euler_8_AE2	AEE	students ⊆ horses	humans ∩ horses = ∅	"students:                          ------
horses:                     ---------------"	"humans:                 -------
horses:                               --------"
All birds are crocodiles. No crows are crocodiles.	No crows are birds.	entailment	incongruent	no	2	euler_6_AE2	AEE	birds ⊆ crocodiles	crows ∩ crocodiles = ∅	"birds:                             ------
crocodiles:                 ---------------"	"crows:                  -------
crocodiles:                           --------"
No tuna are shark. All fish are shark.	No fish are tuna.	entailment	incongruent	no	2	euler_22_EA2	EAE	tuna ∩ shark = ∅	fish ⊆ shark	"tuna:                   -------
shark:                                --------"	"fish:                              ------
shark:                      ---------------"
All horses are students. All humans are horses.	All humans are students.	entailment	incongruent	no	1	euler_8_AA1	AAA	horses ⊆ students	humans ⊆ horses	"horses:                            ------
students:                   ---------------"	"humans:                            ------
horses:                     ---------------"
All plants are trees. All living things are plants.	All living things are trees.	entailment	incongruent	no	1	euler_13_AA1	AAA	plants ⊆ trees	living things ⊆ plants	"plants:                            ------
trees:                      ---------------"	"living things:                     ------
plants:                     ---------------"
