premises_en	hypothesis_en_1	hypothesis_en_2	hypothesis_en_3	hypothesis_en_4	hypothesis_en_5	mood_premises	figure	has-conclusion	gold	content-type	conversion	conversion-type	image_id	image_path	term1	term2	term3
All liquid are metals. All stones are liquid.	No stones are metals.	none of them	All stones are metals.	Some stones are not metals.	Some stones are metals.	AA	1	yes	3	incongruent	no	n/a	euler_18_AA1	images/euler_18_AA1.png	metals	liquid	stones
No athletes are baseball players. All athletes are human beings.	All human beings are baseball players.	Some human beings are not baseball players.	none of them	No human beings are baseball players.	Some human beings are baseball players.	EA	3	no	3	incongruent	yes	A	euler_10_EA3	images/euler_10_EA3.png	baseball players	athletes	human beings
All students are horses. No humans are horses.	All humans are students.	Some humans are students.	Some humans are not students.	No humans are students.	none of them	AE	2	yes	4	incongruent	no	n/a	euler_8_AE2	images/euler_8_AE2.png	students	horses	humans
No birds are sparrows. All birds are stones.	Some stones are sparrows.	Some stones are not sparrows.	All stones are sparrows.	none of them	No stones are sparrows.	EA	3	no	4	incongruent	yes	A	euler_7_EA3	images/euler_7_EA3.png	sparrows	birds	stones
Some liquor are not beer. All drink are liquor.	none of them	No drink are beer.	Some drink are beer.	Some drink are not beer.	All drink are beer.	OA	1	no	1	incongruent	yes	A	euler_17_OA1	images/euler_17_OA1.png	beer	liquor	drink
No students are ghosts. All human beings are ghosts.	No human beings are students.	none of them	Some human beings are not students.	All human beings are students.	Some human beings are students.	EA	2	yes	1	incongruent	no	n/a	euler_12_EA2	images/euler_12_EA2.png	students	ghosts	human beings
Some birds are pigeons. All birds are cats.	Some cats are pigeons.	No cats are pigeons.	All cats are pigeons.	none of them	Some cats are not pigeons.	IA	3	yes	1	incongruent	no	n/a	euler_9_IA3	images/euler_9_IA3.png	pigeons	birds	cats
All dogs are animals. All robots are animals.	Some robots are dogs.	All robots are dogs.	No robots are dogs.	Some robots are not dogs.	none of them	AA	2	no	5	incongruent	yes	A	euler_3_AA2	images/euler_3_AA2.png	dogs	animals	robots
All horses are students. All humans are horses.	Some humans are students.	none of them	All humans are students.	Some humans are not students.	No humans are students.	AA	1	yes	3	incongruent	no	n/a	euler_8_AA1	images/euler_8_AA1.png	students	horses	humans
Some beer are not liquor. All liquor are drink.	none of them	All drink are beer.	Some drink are beer.	Some drink are not beer.	No drink are beer.	OA	4	no	1	incongruent	yes	O	euler_17_OA4	images/euler_17_OA4.png	beer	liquor	drink
All robots are comodities. No comodities are machines.	none of them	Some machines are not robots.	Some machines are robots.	All machines are robots.	No machines are robots.	AE	4	yes	5	incongruent	no	n/a	euler_4_AE4	images/euler_4_AE4.png	robots	comodities	machines
No horses are students. All humans are horses.	No humans are students.	none of them	Some humans are students.	All humans are students.	Some humans are not students.	EA	1	yes	1	incongruent	no	n/a	euler_8_EA1	images/euler_8_EA1.png	students	horses	humans
No water are metals. All iron are water.	No iron are metals.	All iron are metals.	none of them	Some iron are metals.	Some iron are not metals.	EA	1	yes	1	incongruent	no	n/a	euler_19_EA1	images/euler_19_EA1.png	metals	water	iron
All comodities are robots. No machines are comodities.	All machines are robots.	none of them	No machines are robots.	Some machines are robots.	Some machines are not robots.	AE	1	no	2	incongruent	yes	A	euler_4_AE1	images/euler_4_AE1.png	robots	comodities	machines
No beer are liquor. All drink are liquor.	Some drink are beer.	No drink are beer.	All drink are beer.	Some drink are not beer.	none of them	EA	2	yes	2	incongruent	no	n/a	euler_17_EA2	images/euler_17_EA2.png	beer	liquor	drink
No pigeons are birds. Some cats are birds.	Some cats are pigeons.	No cats are pigeons.	All cats are pigeons.	Some cats are not pigeons.	none of them	EI	2	yes	4	incongruent	no	n/a	euler_9_EI2	images/euler_9_EI2.png	pigeons	birds	cats
No sand are metals. All air are sand.	Some air are not metals.	All air are metals.	Some air are metals.	No air are metals.	none of them	EA	1	yes	4	incongruent	no	n/a	euler_5_EA1	images/euler_5_EA1.png	metals	sand	air
All ghosts are students. All human beings are ghosts.	Some human beings are students.	All human beings are students.	Some human beings are not students.	No human beings are students.	none of them	AA	1	yes	2	incongruent	no	n/a	euler_12_AA1	images/euler_12_AA1.png	students	ghosts	human beings
All fruits are foods. Some stones are foods.	All stones are fruits.	none of them	Some stones are fruits.	No stones are fruits.	Some stones are not fruits.	AI	2	no	2	incongruent	yes	A	euler_2_AI2	images/euler_2_AI2.png	fruits	foods	stones
All ghosts are students. Some ghosts are human beings.	Some human beings are not students.	No human beings are students.	All human beings are students.	none of them	Some human beings are students.	AI	3	yes	5	incongruent	no	n/a	euler_12_AI3	images/euler_12_AI3.png	students	ghosts	human beings
All foods are fruits. Some stones are foods.	All stones are fruits.	No stones are fruits.	Some stones are not fruits.	Some stones are fruits.	none of them	AI	1	yes	4	incongruent	no	n/a	euler_2_AI1	images/euler_2_AI1.png	fruits	foods	stones
All vegetables are tomatoes. Some tomatoes are not plants.	Some plants are not vegetables.	none of them	Some plants are vegetables.	No plants are vegetables.	All plants are vegetables.	AO	4	no	2	incongruent	yes	O	euler_20_AO4	images/euler_20_AO4.png	vegetables	tomatoes	plants
Some crocodiles are birds. All crocodiles are crows.	none of them	All crows are birds.	No crows are birds.	Some crows are birds.	Some crows are not birds.	IA	3	yes	4	incongruent	no	n/a	euler_6_IA3	images/euler_6_IA3.png	birds	crocodiles	crows
Some students are not horses. All humans are horses.	Some humans are not students.	none of them	All humans are students.	No humans are students.	Some humans are students.	OA	2	no	2	incongruent	yes	AO	euler_8_OA2	images/euler_8_OA2.png	students	horses	humans
No students are ghosts. Some ghosts are human beings.	Some human beings are students.	No human beings are students.	All human beings are students.	none of them	Some human beings are not students.	EI	4	yes	5	incongruent	no	n/a	euler_12_EI4	images/euler_12_EI4.png	students	ghosts	human beings
All water are metals. No water are iron.	No iron are metals.	Some iron are not metals.	Some iron are metals.	none of them	All iron are metals.	AE	3	no	4	incongruent	yes	A	euler_19_AE3	images/euler_19_AE3.png	metals	water	iron
No human beings are mammals. All horses are mammals.	All horses are human beings.	Some horses are not human beings.	none of them	Some horses are human beings.	No horses are human beings.	EA	2	yes	5	incongruent	no	n/a	euler_15_EA2	images/euler_15_EA2.png	human beings	mammals	horses
All plants are trees. All living things are plants.	none of them	Some living things are trees.	No living things are trees.	Some living things are not trees.	All living things are trees.	AA	1	yes	5	incongruent	no	n/a	euler_13_AA1	images/euler_13_AA1.png	trees	plants	living things
All trees are plants. Some plants are not living things.	No living things are trees.	All living things are trees.	none of them	Some living things are trees.	Some living things are not trees.	AO	4	no	3	incongruent	yes	O	euler_13_AO4	images/euler_13_AO4.png	trees	plants	living things
No tomatoes are plants. Some plants are animals.	Some animals are not tomatoes.	No animals are tomatoes.	none of them	All animals are tomatoes.	Some animals are tomatoes.	EI	4	yes	1	incongruent	no	n/a	euler_11_EI4	images/euler_11_EI4.png	tomatoes	plants	animals
All ghosts are students. No human beings are ghosts.	All human beings are students.	Some human beings are not students.	Some human beings are students.	none of them	No human beings are students.	AE	1	no	4	incongruent	yes	A	euler_12_AE1	images/euler_12_AE1.png	students	ghosts	human beings
All metals are liquid. All liquid are stones.	none of them	Some stones are metals.	Some stones are not metals.	No stones are metals.	All stones are metals.	AA	4	no	1	incongruent	yes	A	euler_18_AA4	images/euler_18_AA4.png	metals	liquid	stones
No dogs are animals. Some robots are animals.	All robots are dogs.	No robots are dogs.	Some robots are not dogs.	Some robots are dogs.	none of them	EI	2	yes	3	incongruent	no	n/a	euler_3_EI2	images/euler_3_EI2.png	dogs	animals	robots
All athletes are baseball players. All athletes are human beings.	Some human beings are not baseball players.	All human beings are baseball players.	Some human beings are baseball players.	none of them	No human beings are baseball players.	AA	3	no	4	incongruent	yes	A	euler_10_AA3	images/euler_10_AA3.png	baseball players	athletes	human beings
All plants are tomatoes. Some animals are plants.	Some animals are tomatoes.	No animals are tomatoes.	Some animals are not tomatoes.	All animals are tomatoes.	none of them	AI	1	yes	1	incongruent	no	n/a	euler_11_AI1	images/euler_11_AI1.png	tomatoes	plants	animals
Some tuna are shark. All fish are shark.	Some fish are not tuna.	none of them	No fish are tuna.	Some fish are tuna.	All fish are tuna.	IA	2	no	2	incongruent	yes	A	euler_22_IA2	images/euler_22_IA2.png	tuna	shark	fish
No human beings are wicked people. Some thieves are human beings.	All thieves are wicked people.	Some thieves are not wicked people.	none of them	No thieves are wicked people.	Some thieves are wicked people.	EI	1	yes	2	incongruent	no	n/a	euler_21_EI1	images/euler_21_EI1.png	wicked people	human beings	thieves
Some trees are plants. All living things are plants.	Some living things are not trees.	none of them	Some living things are trees.	No living things are trees.	All living things are trees.	IA	2	no	2	incongruent	yes	A	euler_13_IA2	images/euler_13_IA2.png	trees	plants	living things
No baseball players are athletes. Some human beings are athletes.	Some human beings are baseball players.	none of them	All human beings are baseball players.	Some human beings are not baseball players.	No human beings are baseball players.	EI	2	yes	4	incongruent	no	n/a	euler_10_EI2	images/euler_10_EI2.png	baseball players	athletes	human beings
Some trees are not plants. All plants are living things.	none of them	No living things are trees.	Some living things are trees.	Some living things are not trees.	All living things are trees.	OA	4	no	1	incongruent	yes	O	euler_13_OA4	images/euler_13_OA4.png	trees	plants	living things
Some metals are not water. All water are iron.	none of them	No iron are metals.	Some iron are metals.	Some iron are not metals.	All iron are metals.	OA	4	no	1	incongruent	yes	O	euler_19_OA4	images/euler_19_OA4.png	metals	water	iron
All crocodiles are birds. Some crocodiles are not crows.	All crows are birds.	No crows are birds.	Some crows are birds.	Some crows are not birds.	none of them	AO	3	no	5	incongruent	yes	AO	euler_6_AO3	images/euler_6_AO3.png	birds	crocodiles	crows
All birds are crocodiles. No crocodiles are crows.	none of them	No crows are birds.	Some crows are birds.	All crows are birds.	Some crows are not birds.	AE	4	yes	2	incongruent	no	n/a	euler_6_AE4	images/euler_6_AE4.png	birds	crocodiles	crows
Some females are males. All students are males.	Some students are females.	No students are females.	All students are females.	Some students are not females.	none of them	IA	2	no	5	incongruent	yes	A	euler_16_IA2	images/euler_16_IA2.png	females	males	students
All tomatoes are plants. Some plants are animals.	All animals are tomatoes.	No animals are tomatoes.	none of them	Some animals are not tomatoes.	Some animals are tomatoes.	AI	4	no	3	incongruent	yes	A	euler_11_AI4	images/euler_11_AI4.png	tomatoes	plants	animals
All students are horses. Some horses are not humans.	No humans are students.	All humans are students.	Some humans are students.	Some humans are not students.	none of them	AO	4	no	5	incongruent	yes	O	euler_8_AO4	images/euler_8_AO4.png	students	horses	humans
All birds are crocodiles. No crows are crocodiles.	No crows are birds.	Some crows are birds.	none of them	Some crows are not birds.	All crows are birds.	AE	2	yes	1	incongruent	no	n/a	euler_6_AE2	images/euler_6_AE2.png	birds	crocodiles	crows
All water are metals. All water are iron.	Some iron are not metals.	All iron are metals.	Some iron are metals.	No iron are metals.	none of them	AA	3	no	5	incongruent	yes	A	euler_19_AA3	images/euler_19_AA3.png	metals	water	iron
Some birds are sparrows. All birds are stones.	none of them	No stones are sparrows.	Some stones are sparrows.	All stones are sparrows.	Some stones are not sparrows.	IA	3	yes	3	incongruent	no	n/a	euler_7_IA3	images/euler_7_IA3.png	sparrows	birds	stones
All ghosts are students. No ghosts are human beings.	none of them	No human beings are students.	Some human beings are not students.	Some human beings are students.	All human beings are students.	AE	3	no	1	incongruent	yes	A	euler_12_AE3	images/euler_12_AE3.png	students	ghosts	human beings
Some human beings are wicked people. All human beings are thieves.	All thieves are wicked people.	Some thieves are wicked people.	Some thieves are not wicked people.	No thieves are wicked people.	none of them	IA	3	yes	2	incongruent	no	n/a	euler_21_IA3	images/euler_21_IA3.png	wicked people	human beings	thieves
All athletes are baseball players. All human beings are athletes.	Some human beings are not baseball players.	No human beings are baseball players.	Some human beings are baseball players.	All human beings are baseball players.	none of them	AA	1	yes	4	incongruent	no	n/a	euler_10_AA1	images/euler_10_AA1.png	baseball players	athletes	human beings
All tomatoes are vegetables. All tomatoes are plants.	Some plants are not vegetables.	Some plants are vegetables.	none of them	No plants are vegetables.	All plants are vegetables.	AA	3	no	3	incongruent	yes	A	euler_20_AA3	images/euler_20_AA3.png	vegetables	tomatoes	plants
No vegetables are tomatoes. All plants are tomatoes.	Some plants are vegetables.	none of them	All plants are vegetables.	No plants are vegetables.	Some plants are not vegetables.	EA	2	yes	4	incongruent	no	n/a	euler_20_EA2	images/euler_20_EA2.png	vegetables	tomatoes	plants
All females are males. All males are students.	Some students are not females.	No students are females.	none of them	All students are females.	Some students are females.	AA	4	no	3	incongruent	yes	A	euler_16_AA4	images/euler_16_AA4.png	females	males	students
Some sand are not metals. All sand are air.	No air are metals.	All air are metals.	Some air are metals.	Some air are not metals.	none of them	OA	3	yes	4	incongruent	no	n/a	euler_5_OA3	images/euler_5_OA3.png	metals	sand	air
No metals are water. Some iron are water.	none of them	All iron are metals.	Some iron are not metals.	Some iron are metals.	No iron are metals.	EI	2	yes	3	incongruent	no	n/a	euler_19_EI2	images/euler_19_EI2.png	metals	water	iron
No tuna are shark. All fish are shark.	All fish are tuna.	No fish are tuna.	Some fish are tuna.	Some fish are not tuna.	none of them	EA	2	yes	2	incongruent	no	n/a	euler_22_EA2	images/euler_22_EA2.png	tuna	shark	fish
Some tuna are shark. All shark are fish.	Some fish are tuna.	No fish are tuna.	none of them	All fish are tuna.	Some fish are not tuna.	IA	4	yes	1	incongruent	no	n/a	euler_22_IA4	images/euler_22_IA4.png	tuna	shark	fish
All animals are dogs. All robots are animals.	Some robots are dogs.	All robots are dogs.	Some robots are not dogs.	No robots are dogs.	none of them	AA	1	yes	2	incongruent	no	n/a	euler_3_AA1	images/euler_3_AA1.png	dogs	animals	robots
No athletes are baseball players. Some human beings are athletes.	Some human beings are baseball players.	none of them	Some human beings are not baseball players.	All human beings are baseball players.	No human beings are baseball players.	EI	1	yes	3	incongruent	no	n/a	euler_10_EI1	images/euler_10_EI1.png	baseball players	athletes	human beings
No crocodiles are birds. Some crocodiles are crows.	All crows are birds.	none of them	Some crows are birds.	Some crows are not birds.	No crows are birds.	EI	3	yes	4	incongruent	no	n/a	euler_6_EI3	images/euler_6_EI3.png	birds	crocodiles	crows
All vegetables are tomatoes. No plants are tomatoes.	No plants are vegetables.	All plants are vegetables.	Some plants are not vegetables.	none of them	Some plants are vegetables.	AE	2	yes	1	incongruent	no	n/a	euler_20_AE2	images/euler_20_AE2.png	vegetables	tomatoes	plants
Some metals are not sand. All sand are air.	Some air are metals.	none of them	All air are metals.	No air are metals.	Some air are not metals.	OA	4	no	2	incongruent	yes	O	euler_5_OA4	images/euler_5_OA4.png	metals	sand	air
All human beings are mammals. All mammals are horses.	none of them	Some horses are human beings.	No horses are human beings.	Some horses are not human beings.	All horses are human beings.	AA	4	no	1	incongruent	yes	A	euler_15_AA4	images/euler_15_AA4.png	human beings	mammals	horses
Some tomatoes are not plants. All plants are animals.	Some animals are tomatoes.	Some animals are not tomatoes.	No animals are tomatoes.	none of them	All animals are tomatoes.	OA	4	no	4	incongruent	yes	O	euler_11_OA4	images/euler_11_OA4.png	tomatoes	plants	animals
No metals are sand. All air are sand.	All air are metals.	Some air are not metals.	No air are metals.	none of them	Some air are metals.	EA	2	yes	3	incongruent	no	n/a	euler_5_EA2	images/euler_5_EA2.png	metals	sand	air
All tomatoes are vegetables. Some tomatoes are not plants.	No plants are vegetables.	Some plants are not vegetables.	All plants are vegetables.	none of them	Some plants are vegetables.	AO	3	no	4	incongruent	yes	AO	euler_20_AO3	images/euler_20_AO3.png	vegetables	tomatoes	plants
All comodities are robots. All comodities are machines.	none of them	Some machines are not robots.	No machines are robots.	Some machines are robots.	All machines are robots.	AA	3	no	1	incongruent	yes	A	euler_4_AA3	images/euler_4_AA3.png	robots	comodities	machines
